867,315,418,490
857,319,423,486
847,338,435,455
760,317,591,552
739,282,548,572
737,277,556,584 
734,262,570,609 
737,267,564,590
720,277,598,567
712,288,617,546
686,288,655,539
672,286,677,550
674,297,660,536
667,301,664,525
663,297,667,535
659,290,653,551
658,301,668,522
668,305,657,518
669,295,643,535
669,302,633,518
666,311,622,503
652,306,613,503
642,303,602,509
625,307,623,512
621,313,637,498
608,312,670,468
611,303,646,506
616,310,624,495
617,325,622,459
612,323,617,459
596,314,610,491
597,284,604,622
566,320,613,557
568,339,671,428
562,321,613,565
563,346,587,502
550,345,611,513
546,350,612,494
524,345,636,508
529,350,635,502
522,332,671,543
518,340,657,528
519,336,650,562
540,345,619,542
536,352,629,537
534,360,629,558
508,342,667,602
532,335,609,611
548,357,586,550
530,352,645,551
516,347,655,571
507,355,674,537
490,352,674,544
480,350,661,559
498,360,602,524
496,374,653,464
689,342,664,518
459,344,614,527
458,342,640,529
482,338,570,528
479,316,572,504
497,298,513,527
492,289,534,542
771,283,567,522
485,294,475,505
488,288,478,523
